"id","activity","variable","value"
1,"LAYING","tBodyAccmeanYAverage",-0.0405139534294
1,"SITTING","tBodyAccmeanYAverage",-0.00130828765170213
1,"STANDING","tBodyAccmeanYAverage",-0.0161375901037736
1,"WALKING","tBodyAccmeanYAverage",-0.0173838185273684
1,"WALKING_DOWNSTAIRS","tBodyAccmeanYAverage",-0.00991850461020408
1,"WALKING_UPSTAIRS","tBodyAccmeanYAverage",-0.0239531492643396
2,"LAYING","tBodyAccmeanYAverage",-0.0181587397583333
2,"SITTING","tBodyAccmeanYAverage",-0.0156879937282609
2,"STANDING","tBodyAccmeanYAverage",-0.0184208270166667
2,"WALKING","tBodyAccmeanYAverage",-0.0185949199145763
2,"WALKING_DOWNSTAIRS","tBodyAccmeanYAverage",-0.0226614158361702
2,"WALKING_UPSTAIRS","tBodyAccmeanYAverage",-0.0214121132045833
3,"LAYING","tBodyAccmeanYAverage",-0.0189556785048387
3,"SITTING","tBodyAccmeanYAverage",-0.00350299841730769
3,"STANDING","tBodyAccmeanYAverage",-0.0143376555065574
3,"WALKING","tBodyAccmeanYAverage",-0.0171767844203448
3,"WALKING_DOWNSTAIRS","tBodyAccmeanYAverage",-0.0193554079328571
3,"WALKING_UPSTAIRS","tBodyAccmeanYAverage",-0.0324109410555932
4,"LAYING","tBodyAccmeanYAverage",-0.0150031841055556
4,"SITTING","tBodyAccmeanYAverage",-0.007163065158
4,"STANDING","tBodyAccmeanYAverage",-0.00948911098553571
4,"WALKING","tBodyAccmeanYAverage",-0.0148399475341667
4,"WALKING_DOWNSTAIRS","tBodyAccmeanYAverage",-0.00980200850666667
4,"WALKING_UPSTAIRS","tBodyAccmeanYAverage",-0.0319804295729615
5,"LAYING","tBodyAccmeanYAverage",-0.0183042123269231
5,"SITTING","tBodyAccmeanYAverage",-0.00990083527045455
5,"STANDING","tBodyAccmeanYAverage",-0.00700418554517857
5,"WALKING","tBodyAccmeanYAverage",-0.0172850317482679
5,"WALKING_DOWNSTAIRS","tBodyAccmeanYAverage",-0.00850107533191489
5,"WALKING_UPSTAIRS","tBodyAccmeanYAverage",-0.0325269755153191
6,"LAYING","tBodyAccmeanYAverage",-0.0102529170561404
6,"SITTING","tBodyAccmeanYAverage",-0.0145911615290909
6,"STANDING","tBodyAccmeanYAverage",-0.0181236327175439
6,"WALKING","tBodyAccmeanYAverage",-0.0168954189082456
6,"WALKING_DOWNSTAIRS","tBodyAccmeanYAverage",-0.019536840063125
6,"WALKING_UPSTAIRS","tBodyAccmeanYAverage",-0.0272425385070588
7,"LAYING","tBodyAccmeanYAverage",-0.0204411516884615
7,"SITTING","tBodyAccmeanYAverage",-0.01461097580375
7,"STANDING","tBodyAccmeanYAverage",-0.0145740341037736
7,"WALKING","tBodyAccmeanYAverage",-0.018653665345614
